Player Name,Team,Conference,Position Profile,Review Date,Video Type,Video Source,Video Score,Overall Video Rating,Video Grade,Status,Recommendation,Quantitative Match,Technical Ability,Tactical Awareness,Decision Making,Physical Attributes,Work Rate,Communication,Leadership,Composure,Key Observations,Strengths Identified,Weaknesses Identified,Red Flags,Additional Notes,Created At
Kestrel Larkmore,Penn State,Big Ten,Centre Midfielder,2026-03-18,Highlights,Club Provided,8.4,8.4,B,Archived,Continue Tracking,Weak match,8.2,8.6,8.8,7.3,9.5,8.7,7.5,8.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Phaedra Ravenhollow,Boston College,ACC,Attacking Midfielder,2026-03-17,Highlights,Coach Submitted,7.5,7.6,B,Reviewed - Pending Discussion,Watch Next Season,Strong match,7.9,7.6,8.1,7.8,7.4,7.4,6.8,7.7,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Tamsin Larkmore,Maryland,Big Ten,Center Back,2026-03-17,Set Piece Compilation,Conference Network,7.4,7.4,C,In Progress,Sign Now,Strong match,7.4,8.4,6.5,8.2,6.3,6.7,6.4,7.3,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Quill Silverlin,UCLA,Big Ten,Center Back,2026-03-17,Skills Showcase,Conference Network,8.4,8.3,B,In Progress,Watch Next Season,Not assessed,8.3,8.9,7.4,7.9,7.2,7.5,8.2,8.9,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #3. Sample taken from NCAA league play.,2026-05-10 18:12:11
Phaedra Ravenhollow,Boston College,ACC,Attacking Midfielder,2026-03-16,Defensive Reel,Wyscout,7.3,7.2,C,Reviewed - Pending Discussion,Continue Tracking,Strong match,8.1,7.5,8.0,6.2,7.9,7.4,6.7,7.7,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Lark Brindlewood,Baylor,Big 12,Centre Midfielder,2026-03-14,Possession Phases,YouTube,6.6,6.3,D,Archived,Continue Tracking,Mixed signals,5.8,5.1,6.8,6.3,6.6,6.9,6.5,6.6,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Elara Westcombe,Duke,ACC,Center Back,2026-03-14,Skills Showcase,Coach Submitted,6.4,6.6,C,Reviewed,Continue Tracking,Strong match,5.5,7.2,6.0,7.2,6.5,6.6,6.6,7.0,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Elowen Hartmere,West Virginia,Big 12,Center Back,2026-03-13,Full Match,Wyscout,7.4,6.9,C,In Progress,Sign Now,Mixed signals,6.1,7.6,6.0,7.2,6.9,6.9,6.3,7.0,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Lyra Valebrook,Boston College,ACC,Center Back,2026-03-12,Highlights,YouTube,8.2,8.1,B,Archived,Pass,Mixed signals,7.1,8.3,7.8,7.7,7.6,8.0,7.4,9.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Beatrix Mistralin,Baylor,Big 12,Center Back,2026-03-12,Possession Phases,Coach Submitted,5.4,5.9,D,Reviewed - Pending Discussion,Continue Tracking,Weak match,5.5,7.1,5.0,5.8,5.2,5.2,6.0,6.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Idalia Kestrelin,Texas A&M,SEC,Center Back,2026-03-10,Highlights,Club Provided,7.7,7.4,C,In Progress,Pass,Not assessed,7.6,7.9,7.6,8.2,7.2,7.3,6.9,8.0,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Indigo Northwynd,USC,Big Ten,Center Back,2026-03-10,Possession Phases,Conference Network,7.3,7.1,C,In Progress,Continue Tracking,Not assessed,6.4,8.2,6.2,7.7,6.1,7.2,6.5,7.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Rowan Sablecourt,Kansas,Big 12,Centre Midfielder,2026-03-10,Skills Showcase,Club Provided,7.5,7.7,B,Archived,Watch Next Season,Strong match,8.3,7.1,9.3,7.1,8.0,7.9,7.2,7.5,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Kestrel Marwen,LSU,SEC,Center Back,2026-03-10,Highlights,YouTube,8.3,8.1,B,Reviewed - Pending Discussion,Watch Next Season,Weak match,7.5,8.6,8.0,7.8,7.4,7.1,7.5,8.8,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Clio Ravenhollow,Cincinnati,Big 12,Center Back,2026-03-10,Defensive Reel,Wyscout,7.1,6.9,C,In Progress,Pass,Weak match,6.1,8.2,7.4,7.3,6.3,6.6,6.5,8.1,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Wren Heatherwell,Alabama,SEC,Centre Midfielder,2026-03-09,Highlights,Conference Network,7.3,7.0,C,Reviewed,Continue Tracking,Not assessed,7.0,6.0,7.8,6.6,6.2,6.1,6.8,6.9,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Fern Sterlin,TCU,Big 12,Attacking Midfielder,2026-03-09,Highlights,Club Provided,7.3,6.8,C,Reviewed,Watch Next Season,Strong match,7.5,6.5,7.0,6.5,6.8,6.9,5.8,6.9,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Romy Heatherwell,Auburn,SEC,Attacking Midfielder,2026-03-09,Skills Showcase,Club Provided,6.2,6.4,D,Archived,Sign Now,Not assessed,7.0,6.4,6.4,6.3,6.7,5.3,5.8,6.7,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Petra Thornveil,Wisconsin,Big Ten,Centre Midfielder,2026-03-09,Set Piece Compilation,Wyscout,7.0,7.3,C,Archived,Continue Tracking,Not assessed,7.2,7.0,8.6,7.3,7.3,7.3,7.3,6.7,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #3. Sample taken from Conference Cup.,2026-05-10 18:12:11
Rhea Lindenmark,Ohio State,Big Ten,Center Back,2026-03-08,Attacking Reel,Conference Network,6.6,6.6,C,Archived,Pass,Not assessed,7.0,7.3,6.8,7.2,6.0,5.8,6.9,7.8,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Isolde Sterlin,Florida State,ACC,Center Back,2026-03-08,Highlights,Conference Network,8.4,8.1,B,Archived,Watch Next Season,Mixed signals,8.0,9.1,8.5,7.8,7.1,7.9,7.7,9.0,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Marlowe Brindlewood,Florida,SEC,Center Back,2026-03-07,Attacking Reel,YouTube,7.0,6.5,C,Reviewed - Pending Discussion,Watch Next Season,Weak match,6.1,7.6,5.9,6.9,5.9,6.8,6.4,7.1,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Orla Kestrelin,Maryland,Big Ten,Attacking Midfielder,2026-03-07,Possession Phases,Conference Network,7.4,7.1,C,Reviewed,Continue Tracking,Not assessed,8.4,7.3,7.9,5.7,6.2,7.4,6.5,6.4,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Yara Willowbrook,Duke,ACC,Centre Midfielder,2026-03-06,Defensive Reel,Wyscout,6.6,6.6,C,Reviewed,Sign Now,Weak match,6.2,7.0,7.6,6.0,7.1,7.5,6.9,6.1,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Saoirse Reedmoor,Indiana,Big Ten,Attacking Midfielder,2026-03-06,Possession Phases,Wyscout,5.6,6.0,D,Reviewed - Pending Discussion,Sign Now,Mixed signals,7.0,5.4,6.6,5.2,6.0,6.6,6.5,6.9,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Sable Hartmere,Louisville,ACC,Centre Midfielder,2026-03-06,Defensive Reel,Hudl,7.4,7.4,C,Reviewed - Pending Discussion,Continue Tracking,Weak match,7.5,6.9,8.3,6.4,7.6,7.3,7.8,7.4,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Rhea Lindenmark,Ohio State,Big Ten,Center Back,2026-03-06,Defensive Reel,Club Provided,7.9,7.8,B,Reviewed - Pending Discussion,Continue Tracking,Weak match,6.7,8.6,7.5,7.1,7.7,6.7,8.1,8.1,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Marlowe Halewood,Georgia,SEC,Attacking Midfielder,2026-03-05,Possession Phases,Club Provided,7.3,7.1,C,Reviewed - Pending Discussion,Watch Next Season,Strong match,7.6,6.2,7.7,6.9,6.7,7.2,6.2,7.4,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Thalia Yarrowfen,Clemson,ACC,Winger,2026-03-04,Set Piece Compilation,Wyscout,7.4,7.3,C,In Progress,Sign Now,Mixed signals,8.5,6.2,7.5,8.1,8.2,7.1,6.3,6.6,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Persephone Hollowmere,Kansas,Big 12,Winger,2026-03-04,Full Match,Conference Network,7.8,7.9,B,In Progress,Sign Now,Strong match,9.6,7.6,7.9,7.9,8.9,7.7,8.0,7.4,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Esme Pennygrove,Notre Dame,ACC,Attacking Midfielder,2026-03-04,Full Match,YouTube,7.0,7.5,B,Archived,Watch Next Season,Strong match,9.0,7.5,7.6,7.0,6.4,7.9,7.6,8.1,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #2. Sample taken from NCAA league play.,2026-05-10 18:12:11
Sorrel Northwynd,North Carolina,ACC,Attacking Midfielder,2026-03-03,Possession Phases,Wyscout,6.4,6.8,C,Reviewed - Pending Discussion,Pass,Not assessed,8.4,7.2,7.1,6.9,6.6,7.0,6.5,6.6,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Phaedra Brackenfeld,Wisconsin,Big Ten,Centre Midfielder,2026-03-03,Skills Showcase,Wyscout,6.2,6.3,D,Reviewed - Pending Discussion,Continue Tracking,Weak match,5.3,5.6,6.9,6.8,6.2,7.0,5.8,6.6,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #3. Sample taken from National camp footage.,2026-05-10 18:12:11
Caspia Embermoor,Cincinnati,Big 12,Centre Midfielder,2026-03-01,Possession Phases,Hudl,6.2,6.1,D,Archived,Continue Tracking,Not assessed,6.8,5.4,6.5,5.4,7.1,7.4,5.8,6.3,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Ember Sablecourt,Texas Tech,Big 12,Center Back,2026-02-28,Attacking Reel,Coach Submitted,6.0,6.0,D,Archived,Pass,Mixed signals,5.9,6.5,6.4,6.2,5.6,5.5,5.9,6.3,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Margaux Inglewood,Virginia,ACC,Center Back,2026-02-28,Skills Showcase,Hudl,7.6,7.6,B,Reviewed,Continue Tracking,Not assessed,7.6,8.2,7.0,8.0,8.0,7.6,8.5,7.7,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Petra Yarrowfen,Louisville,ACC,Center Back,2026-02-26,Defensive Reel,Hudl,6.0,6.0,D,In Progress,Continue Tracking,Strong match,6.0,7.1,5.1,6.7,5.1,6.3,6.5,6.1,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Marlowe Brackenfeld,Texas A&M,SEC,Winger,2026-02-26,Skills Showcase,Wyscout,6.3,6.5,C,Archived,Watch Next Season,Not assessed,6.6,5.6,5.4,7.4,7.0,6.2,6.6,5.6,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Calliope Sablecourt,Houston,Big 12,Center Back,2026-02-25,Highlights,YouTube,8.5,8.2,B,Archived,Sign Now,Not assessed,7.5,8.9,6.7,8.8,8.2,7.5,7.5,8.9,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Opal Embermoor,North Carolina,ACC,Winger,2026-02-24,Defensive Reel,Hudl,7.9,7.7,B,Reviewed,Sign Now,Mixed signals,8.4,7.0,7.5,8.2,8.4,8.3,8.1,6.6,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Onyx Mosseridge,West Virginia,Big 12,Centre Midfielder,2026-02-23,Set Piece Compilation,Hudl,7.3,7.5,B,Reviewed - Pending Discussion,Watch Next Season,Mixed signals,7.8,7.7,8.6,6.9,8.8,7.5,8.0,7.4,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Marlowe Halewood,Georgia,SEC,Attacking Midfielder,2026-02-22,Highlights,Club Provided,7.2,6.8,C,Reviewed,Continue Tracking,Mixed signals,7.8,7.4,7.5,7.0,6.1,6.5,6.7,7.1,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Thora Tideland,Syracuse,ACC,Attacking Midfielder,2026-02-22,Defensive Reel,Coach Submitted,7.9,7.7,B,In Progress,Continue Tracking,Weak match,8.3,7.5,8.1,7.7,8.4,7.8,7.4,7.6,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Seraphina Stormhaven,Florida,SEC,Center Back,2026-02-22,Full Match,Club Provided,7.1,7.1,C,Reviewed,Continue Tracking,Mixed signals,6.4,7.3,6.4,6.9,7.1,7.2,7.6,8.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Zephyrine Drystan,Penn State,Big Ten,Winger,2026-02-22,Highlights,Coach Submitted,5.6,5.8,D,Reviewed - Pending Discussion,Sign Now,Not assessed,6.2,6.4,6.3,6.1,5.5,5.6,5.6,5.3,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Briar Pennygrove,Kentucky,SEC,Centre Midfielder,2026-02-22,Attacking Reel,Club Provided,7.5,7.5,B,In Progress,Watch Next Season,Mixed signals,7.3,6.9,7.5,7.6,7.9,7.0,7.9,6.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #3. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Petra Caelum,Cincinnati,Big 12,Centre Midfielder,2026-02-21,Set Piece Compilation,Conference Network,7.8,8.1,B,In Progress,Watch Next Season,Not assessed,7.8,6.9,9.1,8.4,8.4,8.6,8.3,7.6,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Prudence Kestrelin,Arkansas,SEC,Attacking Midfielder,2026-02-21,Defensive Reel,YouTube,7.4,7.8,B,In Progress,Watch Next Season,Mixed signals,8.0,7.0,8.3,7.9,7.3,7.0,7.2,8.2,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Fern Yarrowfen,Kentucky,SEC,Center Back,2026-02-20,Highlights,Conference Network,7.2,7.2,C,Reviewed,Watch Next Season,Strong match,7.2,7.7,7.3,7.9,7.3,6.7,7.7,7.7,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Prudence Sablecourt,Penn State,Big Ten,Center Back,2026-02-18,Defensive Reel,Club Provided,6.4,6.2,D,Reviewed,Continue Tracking,Weak match,6.1,7.0,5.5,5.8,5.2,5.6,6.2,6.9,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Indigo Daleforth,North Carolina,ACC,Centre Midfielder,2026-02-18,Skills Showcase,Coach Submitted,6.2,6.2,D,In Progress,Continue Tracking,Strong match,5.6,5.2,7.4,5.8,6.1,6.5,5.2,5.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Sable Marwen,South Carolina,SEC,Center Back,2026-02-16,Highlights,YouTube,7.1,7.2,C,In Progress,Sign Now,Mixed signals,6.7,8.5,6.6,7.8,7.2,7.8,7.8,7.3,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Idalia Valebrook,Kentucky,SEC,Winger,2026-02-16,Full Match,Conference Network,6.5,6.2,D,Reviewed - Pending Discussion,Watch Next Season,Strong match,6.9,6.1,6.4,7.3,5.7,6.3,6.4,5.6,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Lyra Glasswood,Houston,Big 12,Centre Midfielder,2026-02-15,Full Match,Wyscout,6.3,6.3,D,In Progress,Sign Now,Strong match,6.3,6.4,7.1,5.5,5.9,5.5,6.4,6.5,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Senna Lindenmark,Florida State,ACC,Attacking Midfielder,2026-02-15,Set Piece Compilation,Wyscout,6.3,6.2,D,Reviewed - Pending Discussion,Pass,Weak match,6.6,5.8,6.9,5.5,5.4,6.0,6.7,5.6,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Clio Quillane,Syracuse,ACC,Centre Midfielder,2026-02-14,Defensive Reel,Wyscout,7.1,6.7,C,Reviewed,Continue Tracking,Mixed signals,6.9,7.2,8.1,6.5,7.0,6.7,7.0,6.4,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Quill Inglewood,Florida State,ACC,Attacking Midfielder,2026-02-14,Skills Showcase,Wyscout,5.7,6.1,D,Reviewed,Sign Now,Not assessed,6.1,6.1,6.3,5.4,5.9,5.7,5.9,5.6,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Briar Sterlin,Michigan,Big Ten,Centre Midfielder,2026-02-13,Skills Showcase,YouTube,5.9,5.5,D,Reviewed - Pending Discussion,Sign Now,Weak match,5.0,5.7,6.2,6.0,6.2,5.4,5.1,6.5,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Beatrix Brackenfeld,Ohio State,Big Ten,Centre Midfielder,2026-02-13,Set Piece Compilation,Club Provided,7.6,7.6,B,In Progress,Watch Next Season,Strong match,8.0,7.0,8.6,6.7,7.9,7.7,7.6,7.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Marlowe Drystan,Northwestern,Big Ten,Attacking Midfielder,2026-02-13,Highlights,YouTube,6.9,6.6,C,Reviewed - Pending Discussion,Continue Tracking,Mixed signals,6.7,6.2,6.7,5.6,6.4,6.6,6.9,6.9,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Senna Pennygrove,Virginia Tech,ACC,Center Back,2026-02-13,Set Piece Compilation,Club Provided,6.6,7.0,C,Reviewed - Pending Discussion,Watch Next Season,Not assessed,7.1,8.1,7.2,7.1,6.6,6.8,7.1,7.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Persephone Daleforth,Oklahoma State,Big 12,Center Back,2026-02-10,Full Match,Club Provided,6.2,6.4,D,Reviewed,Continue Tracking,Strong match,5.4,7.0,5.4,7.0,5.8,6.4,6.6,7.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Fern Oakenshield,South Carolina,SEC,Attacking Midfielder,2026-02-09,Defensive Reel,Wyscout,6.3,6.4,D,Reviewed,Pass,Not assessed,7.1,6.1,6.8,5.4,5.5,6.0,5.4,7.0,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #2. Sample taken from NCAA league play.,2026-05-10 18:12:11
Thalia Aldercroft,Louisville,ACC,Winger,2026-02-09,Highlights,Wyscout,7.2,7.0,C,In Progress,Watch Next Season,Weak match,7.9,6.9,6.4,7.3,6.9,6.8,6.5,6.4,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #3. Sample taken from National camp footage.,2026-05-10 18:12:11
Marlowe Brindlewood,Florida,SEC,Center Back,2026-02-09,Skills Showcase,Club Provided,8.2,7.7,B,Reviewed - Pending Discussion,Sign Now,Mixed signals,7.6,8.7,7.7,8.1,7.6,7.7,7.4,7.6,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #3. Sample taken from National camp footage.,2026-05-10 18:12:11
Wren Embermoor,LSU,SEC,Centre Midfielder,2026-02-08,Full Match,Conference Network,6.0,5.9,D,Reviewed - Pending Discussion,Continue Tracking,Strong match,5.4,5.2,7.1,5.0,6.2,6.9,6.2,5.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Linnea Brackenfeld,Clemson,ACC,Centre Midfielder,2026-02-08,Skills Showcase,Wyscout,8.0,7.8,B,Reviewed,Sign Now,Weak match,7.3,8.2,8.8,7.2,7.9,8.3,8.5,7.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
